price,room_type,number_of_reviews,reviews_per_month,city
92.0,Entire home/apt,59,1.93,Barcelona
60.0,Entire home/apt,0,,Barcelona
85.0,Entire home/apt,27,1.49,Barcelona
185.0,Entire home/apt,1,0.13,Barcelona
65.0,Private room,26,2.32,Barcelona
124.0,Entire home/apt,0,,Barcelona
199.0,Private room,0,,Barcelona
360.0,Entire home/apt,1,0.79,Barcelona
300.0,Entire home/apt,8,0.48,Barcelona
85.0,Entire home/apt,108,2.26,Barcelona
150.0,Entire home/apt,0,,Barcelona
40.0,Private room,0,,Barcelona
35.0,Private room,8,0.8,Barcelona
188.0,Entire home/apt,1,0.1,Barcelona
25.0,Private room,10,0.95,Barcelona
30.0,Private room,26,3.68,Barcelona
79.0,Entire home/apt,86,2.42,Barcelona
21.0,Private room,47,2.65,Barcelona
81.0,Entire home/apt,4,0.07,Barcelona
25.0,Private room,4,0.41,Barcelona
19.0,Private room,104,6.27,Barcelona
40.0,Private room,34,2.86,Barcelona
132.0,Entire home/apt,16,0.71,Barcelona
128.0,Entire home/apt,0,,Barcelona
23.0,Private room,26,3.9,Barcelona
50.0,Private room,11,1.05,Barcelona
25.0,Private room,8,0.22,Barcelona
52.0,Private room,83,2.88,Barcelona
25.0,Private room,30,2.21,Barcelona
300.0,Entire home/apt,1,0.13,Barcelona
100.0,Entire home/apt,0,,Barcelona
46.0,Private room,35,1.07,Barcelona
20.0,Private room,63,5.48,Barcelona
23.0,Private room,8,0.82,Barcelona
25.0,Private room,4,0.18,Barcelona
99.0,Entire home/apt,2,0.62,Barcelona
15.0,Private room,71,2.04,Barcelona
70.0,Entire home/apt,15,0.98,Barcelona
30.0,Private room,13,0.43,Barcelona
21.0,Private room,40,3.45,Barcelona
300.0,Entire home/apt,35,1.4,Barcelona
150.0,Private room,0,,Barcelona
80.0,Private room,0,,Barcelona
60.0,Private room,10,0.44,Barcelona
40.0,Private room,3,0.93,Barcelona
200.0,Entire home/apt,0,,Barcelona
120.0,Entire home/apt,69,1.39,Barcelona
49.0,Private room,0,,Barcelona
105.0,Entire home/apt,0,,Barcelona
35.0,Private room,2,0.49,Barcelona
100.0,Entire home/apt,0,,Barcelona
50.0,Private room,0,,Barcelona
28.0,Private room,1,0.91,Barcelona
33.0,Private room,16,1.75,Barcelona
21.0,Private room,135,3.74,Barcelona
21.0,Private room,54,1.42,Barcelona
40.0,Entire home/apt,10,0.85,Barcelona
120.0,Private room,2,0.23,Barcelona
110.0,Private room,0,,Barcelona
125.0,Entire home/apt,0,,Barcelona
157.0,Entire home/apt,16,1.12,Barcelona
25.0,Shared room,0,,Barcelona
15.0,Shared room,9,0.68,Barcelona
119.0,Entire home/apt,10,0.81,Barcelona
100.0,Entire home/apt,11,1.74,Barcelona
27.0,Private room,0,,Barcelona
125.0,Entire home/apt,82,3.46,Barcelona
40.0,Private room,0,,Barcelona
300.0,Entire home/apt,4,0.45,Barcelona
130.0,Entire home/apt,1,0.13,Barcelona
60.0,Entire home/apt,12,1.49,Barcelona
250.0,Entire home/apt,11,1.38,Barcelona
25.0,Private room,0,,Barcelona
129.0,Entire home/apt,30,1.12,Barcelona
90.0,Entire home/apt,2,0.09,Barcelona
200.0,Entire home/apt,65,1.9,Barcelona
160.0,Entire home/apt,3,0.39,Barcelona
49.0,Private room,0,,Barcelona
80.0,Entire home/apt,0,,Barcelona
33.0,Private room,1,0.49,Barcelona
60.0,Entire home/apt,21,0.65,Barcelona
