price,room_type,number_of_reviews,reviews_per_month,city
140,Private room,0,,Melbourne
119,Private room,19,0.32,Melbourne
159,Entire home/apt,48,0.81,Melbourne
37,Entire home/apt,0,,Melbourne
150,Entire home/apt,21,0.35,Melbourne
125,Entire home/apt,4,0.07,Melbourne
220,Entire home/apt,0,,Melbourne
550,Entire home/apt,47,0.78,Melbourne
280,Entire home/apt,36,0.62,Melbourne
150,Entire home/apt,0,,Melbourne
180,Entire home/apt,3,0.05,Melbourne
69,Private room,161,3.02,Melbourne
120,Entire home/apt,46,0.78,Melbourne
245,Entire home/apt,40,0.66,Melbourne
154,Shared room,0,,Melbourne
130,Entire home/apt,25,0.41,Melbourne
46,Private room,31,0.52,Melbourne
105,Private room,28,0.47,Melbourne
100,Entire home/apt,2,0.03,Melbourne
89,Private room,0,,Melbourne
251,Entire home/apt,9,0.15,Melbourne
62,Private room,40,0.66,Melbourne
209,Entire home/apt,4,0.07,Melbourne
57,Private room,1,0.04,Melbourne
180,Entire home/apt,9,0.16,Melbourne
80,Entire home/apt,3,0.13,Melbourne
125,Entire home/apt,0,,Melbourne
127,Entire home/apt,215,3.53,Melbourne
221,Entire home/apt,6,0.17,Melbourne
251,Entire home/apt,27,0.45,Melbourne
239,Entire home/apt,28,0.47,Melbourne
375,Entire home/apt,0,,Melbourne
89,Entire home/apt,11,0.19,Melbourne
120,Entire home/apt,1,0.02,Melbourne
169,Entire home/apt,7,0.12,Melbourne
150,Entire home/apt,27,0.48,Melbourne
109,Entire home/apt,2,0.03,Melbourne
100,Entire home/apt,0,,Melbourne
159,Entire home/apt,235,3.88,Melbourne
109,Entire home/apt,42,0.71,Melbourne
65,Private room,53,0.89,Melbourne
165,Entire home/apt,6,0.1,Melbourne
165,Entire home/apt,3,0.05,Melbourne
165,Entire home/apt,18,0.3,Melbourne
60,Private room,0,,Melbourne
169,Entire home/apt,182,3.03,Melbourne
180,Entire home/apt,17,0.3,Melbourne
100,Entire home/apt,7,0.12,Melbourne
180,Entire home/apt,56,0.93,Melbourne
165,Entire home/apt,7,0.12,Melbourne
118,Entire home/apt,235,3.88,Melbourne
82,Entire home/apt,179,3.01,Melbourne
300,Entire home/apt,0,,Melbourne
100,Entire home/apt,87,1.47,Melbourne
100,Private room,55,0.92,Melbourne
35,Private room,0,,Melbourne
100,Private room,0,,Melbourne
120,Entire home/apt,159,2.66,Melbourne
174,Entire home/apt,7,0.14,Melbourne
150,Entire home/apt,198,3.43,Melbourne
138,Entire home/apt,230,3.84,Melbourne
133,Entire home/apt,0,,Melbourne
181,Entire home/apt,10,0.29,Melbourne
96,Entire home/apt,57,0.95,Melbourne
48,Private room,77,1.33,Melbourne
170,Entire home/apt,0,,Melbourne
109,Entire home/apt,10,0.18,Melbourne
53,Private room,0,,Melbourne
75,Entire home/apt,0,,Melbourne
39,Private room,77,1.3,Melbourne
69,Entire home/apt,99,1.97,Melbourne
65,Private room,29,0.85,Melbourne
280,Entire home/apt,57,1.08,Melbourne
226,Entire home/apt,28,0.94,Melbourne
55,Private room,20,0.48,Melbourne
480,Entire home/apt,66,1.11,Melbourne
145,Entire home/apt,209,5.43,Melbourne
60,Private room,41,0.78,Melbourne
199,Entire home/apt,43,0.75,Melbourne
65,Entire home/apt,8,0.14,Melbourne
114,Entire home/apt,28,0.79,Melbourne
